id,issue,solve
1906,Proses verifikasi sidik jari lama,Kurangi jumlah template sidik jari atau optimalkan kapasitas memori perangkat.
1907,Data absensi tidak tersimpan,Periksa kapasitas penyimpanan internal dan pastikan tidak penuh.
1908,Tidak bisa menarik data dari mesin ke komputer,"Periksa kabel komunikasi (LAN, USB, RS-232) dan pastikan driver terpasang."
1909,Mesin fingerprint tidak terhubung ke jaringan,"Cek konfigurasi IP, subnet, dan pastikan kabel LAN tersambung dengan benar."
1910,Mesin menunjukkan waktu yang salah,Atur ulang waktu dan tanggal sesuai waktu server perusahaan.
1911,Mesin fingerprint restart sendiri,"Periksa suplai daya dan adaptor, mungkin terjadi lonjakan listrik."
1912,Mesin tidak bisa membaca kartu RFID,Pastikan jenis kartu sesuai dengan tipe reader mesin.
1913,Mesin tidak mengeluarkan suara saat digunakan,Periksa pengaturan suara atau speaker internal.
1914,Karyawan tidak terdaftar di sistem absensi,Daftarkan ulang karyawan di database perangkat atau aplikasi absensi.
1915,Mesin tidak menyimpan data baru,Pastikan memori internal masih tersedia atau lakukan backup dan reset.
1916,Fingerprint gagal konek ke software server,"Cek alamat IP server, port komunikasi, dan koneksi jaringan."
1917,Data karyawan hilang setelah restart,Pastikan fungsi auto-save aktif dan baterai backup internal berfungsi.
1918,Mesin fingerprint menampilkan “Sensor Error”,Periksa sensor fisik dan lakukan kalibrasi ulang atau ganti modul sensor.
1919,Tidak bisa update firmware mesin,Pastikan versi firmware sesuai dengan tipe perangkat dan gunakan kabel data resmi.
1920,Mesin tidak merespons tombol menu,Coba restart perangkat dan periksa apakah tombol mekanis macet.
1921,Lampu indikator sidik jari tidak menyala,Periksa LED sensor atau hubungi teknisi untuk penggantian modul.
1922,Data tidak bisa di-download melalui flashdisk,Pastikan flashdisk diformat FAT32 dan kapasitasnya mencukupi.
1923,Mesin fingerprint menampilkan pesan “Full Memory”,Hapus log lama atau backup data ke komputer.
1924,Fingerprint gagal login ke server HR,Periksa kredensial dan pastikan koneksi jaringan stabil.
1925,Mesin fingerprint tidak mencatat jam keluar,Pastikan mode absensi diatur ke “Check In/Out” bukan “Auto Mode”.
1926,Data absensi tidak sesuai dengan jam sebenarnya,Sinkronkan waktu mesin dengan server waktu perusahaan.
1927,Tidak bisa menambahkan user baru,Periksa batas maksimal pengguna dan hapus data lama jika sudah penuh.
1928,Karyawan tidak bisa scan wajah,Pastikan pencahayaan cukup dan posisi wajah sejajar dengan kamera.
1929,Sensor wajah tidak berfungsi,Bersihkan lensa kamera dan lakukan kalibrasi ulang fitur face recognition.
1930,Fingerprint gagal kirim log ke server,Periksa koneksi LAN dan pastikan port komunikasi tidak diblok firewall.
1931,Mesin fingerprint sering hang,Lakukan reboot berkala dan perbarui firmware ke versi terbaru.
1932,Tidak bisa ekspor laporan absensi,Pastikan format file dan lokasi penyimpanan valid.
1933,Mesin fingerprint menolak jari baru,Pastikan kapasitas template masih tersedia dan sensor tidak rusak.
1934,Sidik jari karyawan sering tidak dikenali,Daftarkan ulang dengan tekanan jari yang konsisten dan posisi berbeda.
1935,Mesin tidak bisa diakses melalui IP,"Periksa alamat IP, gateway, dan pastikan tidak ada konflik IP di jaringan."
1936,Mesin tidak bisa restart lewat software,Pastikan user memiliki hak admin dan koneksi masih aktif.
1937,Fingerprint tidak menampilkan nama karyawan,Sinkronkan ulang database user dengan perangkat.
1938,Mesin fingerprint gagal deteksi kartu absensi,Periksa frekuensi kartu dan jarak tempel ke sensor.
1939,Tidak bisa menghapus data user tertentu,Pastikan akun admin digunakan untuk penghapusan.
1940,Hasil laporan tidak muncul di software HR,Periksa direktori penyimpanan dan koneksi database HR.
1941,Mesin tidak bisa diakses dengan password admin,Lakukan reset password melalui software resmi atau teknisi.
1942,Tidak bisa menyalin data antar mesin,Pastikan kedua mesin memiliki versi firmware yang kompatibel.
1943,Mesin fingerprint tidak membaca jari setelah update,Kalibrasi ulang sensor setelah pembaruan firmware.
1944,Data absensi double,Cek pengaturan mode scan agar tidak merekam dua kali dalam selang waktu singkat.
1945,Fingerprint tidak menyimpan log absensi otomatis,Aktifkan fitur auto-save pada menu pengaturan.
1946,Mesin fingerprint menampilkan “Database Error”,"Lakukan backup, lalu reset database dari menu admin."
1947,Tidak bisa mengganti nama user,Pastikan akun admin aktif dan tidak ada sinkronisasi aktif ke server saat itu.
1948,Mesin fingerprint menolak PIN karyawan,Pastikan PIN benar dan user aktif di sistem.
1949,Tidak bisa konek lewat Wi-Fi,Pastikan SSID dan password benar serta perangkat mendukung jaringan tersebut.
1950,Mesin fingerprint tidak bisa standby,Atur ulang waktu standby otomatis di menu pengaturan.
1951,Mesin fingerprint terlalu lambat saat startup,Hapus data log lama untuk mempercepat proses boot.
1952,Karyawan lupa PIN absensi,Reset PIN dari panel admin atau software manajemen absensi.
1953,Tidak bisa kirim data ke cloud,Pastikan koneksi internet aktif dan pengaturan API key benar.
1954,Fingerprint gagal sinkron otomatis,Jalankan sinkronisasi manual dan periksa jadwal cron di server.
1955,Mesin fingerprint tidak membaca wajah pada malam hari,Aktifkan mode infra-merah untuk pengenalan di cahaya rendah.
1956,Mesin fingerprint menampilkan “Invalid User”,Pastikan user ID aktif dan belum terhapus dari database.
1957,Mesin tidak mengeluarkan suara konfirmasi,Aktifkan mode suara di pengaturan sistem.
1958,Mesin tidak mendeteksi port komunikasi,Cek port USB/RS232 dan ganti kabel data bila rusak.
1959,Tidak bisa mencetak laporan dari mesin langsung,Pastikan printer terhubung dan kompatibel dengan model mesin.
1960,Fingerprint menolak semua jari,Reset sistem sensor dan lakukan pendaftaran ulang massal.
1961,Wajah pengguna tidak dikenali di pagi hari,Pastikan pencahayaan dan posisi kamera sesuai.
1962,Mesin fingerprint gagal upload ke database HRIS,Cek pengaturan koneksi dan pastikan format data sesuai API HRIS.
1963,Mesin fingerprint menampilkan “Memory Full”,Hapus data lama atau ekspor log ke server.
1964,Tidak bisa update waktu otomatis,Aktifkan sinkronisasi waktu NTP melalui jaringan.
1965,Mesin fingerprint tidak bisa direset,Gunakan kombinasi tombol reset fisik atau software manajemen resmi.
1966,Tidak bisa login admin di mesin fingerprint,Gunakan kartu admin atau login via software pusat.
1967,Mesin fingerprint tidak membaca kartu RFID baru,Tambahkan jenis kartu di pengaturan mesin.
1968,Tidak bisa melihat log real-time,Pastikan koneksi real-time monitoring diaktifkan di software.
1969,Mesin fingerprint sering disconnect dari server,Periksa kestabilan koneksi LAN/Wi-Fi dan perbarui firmware.
1970,Fingerprint gagal kirim email notifikasi,Pastikan SMTP server dan port email dikonfigurasi dengan benar.
1971,Mesin fingerprint tidak bisa dihapus dari sistem,Lakukan unregister dari software pusat sebelum dihapus fisik.
1972,Tidak bisa menambah shift kerja di mesin,Tambahkan jadwal dari software absensi bukan dari perangkat langsung.
1973,Fingerprint mencatat jam salah karena zona waktu,Pastikan timezone mesin sama dengan server.
1974,Mesin fingerprint menolak kartu lama,Pastikan kartu belum rusak dan masih terdaftar di database.
1975,Tidak bisa login lewat web absensi,Periksa akun user dan status server web.
1976,Mesin fingerprint tidak menampilkan menu utama,Reset tampilan dari pengaturan display.
1977,Fingerprint mengeluarkan bunyi error,Periksa log kesalahan dan sensor utama.
1978,Mesin fingerprint tidak bisa konek setelah ganti router,Ubah IP sesuai subnet baru dan update gateway.
1979,Tidak bisa input jari baru,Pastikan kapasitas user belum penuh.
1980,Mesin fingerprint gagal backup otomatis,Pastikan penyimpanan eksternal atau server backup aktif.
1981,Fingerprint tidak mengirim laporan harian,Aktifkan auto-report di software pusat.
1982,Mesin fingerprint menolak karyawan kontrak,Pastikan tipe user diatur ke “aktif” di database.
1983,Fingerprint tidak membaca jari dengan luka,Gunakan metode alternatif seperti PIN atau kartu.
1984,Mesin fingerprint menolak jari basah,Keringkan jari sebelum scan untuk hasil optimal.
1985,Data absensi tidak sesuai setelah update software,Jalankan re-sync data dan verifikasi ulang konfigurasi.
1986,Fingerprint gagal upload log harian,Cek status jaringan dan jadwal upload otomatis.
1987,Mesin fingerprint tidak terdeteksi oleh aplikasi,Pastikan driver dan port komunikasi benar.
1988,Fingerprint menolak user yang baru ditambahkan,Pastikan user dikirim ke perangkat dan status aktif.
1989,Mesin fingerprint tidak bisa logout admin,Restart perangkat atau tunggu timeout otomatis.
1990,Tidak bisa akses menu konfigurasi jaringan,Gunakan hak akses administrator.
1991,Mesin fingerprint gagal restart otomatis,Aktifkan fitur restart harian di menu sistem.
1992,Fingerprint tidak menampilkan nama saat scan,Sinkronkan ulang nama dari database.
1993,Mesin fingerprint tidak menyimpan perubahan pengaturan,Cek baterai CMOS atau simpan ulang konfigurasi.
1994,Mesin fingerprint gagal registrasi wajah baru,Pastikan kamera bersih dan cahaya cukup.
1995,Tidak bisa ganti alamat IP mesin,Pastikan login sebagai admin dan jaringan aktif.
1996,Mesin fingerprint tidak bisa shutdown manual,Gunakan tombol power fisik atau cabut daya dengan aman.
1997,Fingerprint gagal update log ke HR cloud,Pastikan endpoint API aktif dan token valid.
1998,Mesin fingerprint tidak memutar suara salam,Aktifkan notifikasi suara di pengaturan sistem.
1999,Tidak bisa menambahkan admin baru,Pastikan jumlah akun admin belum mencapai batas.
2000,Mesin fingerprint tidak bisa menyimpan log wajah,Pastikan memori penyimpanan mencukupi.
2001,Fingerprint menampilkan “System Error”,"Lakukan reboot, dan jika tetap muncul, hubungi teknisi untuk pemeriksaan firmware."
2002,Tidak bisa join meeting di Microsoft Teams,"Pastikan koneksi internet stabil, perbarui aplikasi Teams, dan coba gabung ulang melalui link undangan."
2003,Audio tidak terdengar saat meeting,Periksa input/output audio di pengaturan perangkat dan pastikan mikrofon tidak dalam posisi mute.
2004,Kamera tidak berfungsi di Zoom,Pastikan izin kamera diaktifkan di pengaturan privasi dan tidak digunakan oleh aplikasi lain.
2005,Layar presentasi tidak bisa dibagikan,Aktifkan izin screen sharing di aplikasi dan pastikan tidak ada kebijakan keamanan yang membatasi.
2006,Teams tidak dapat login dengan akun perusahaan,Hapus cache aplikasi Teams dan login ulang menggunakan akun Microsoft 365 perusahaan.
2007,Notifikasi chat tidak muncul di Teams,Periksa pengaturan notifikasi dan pastikan Teams berjalan di latar belakang.
2008,Google Meet tidak mendeteksi mikrofon,Aktifkan izin mikrofon di browser dan pilih perangkat input yang benar di pengaturan Meet.
2009,Slack tidak menampilkan pesan baru,"Refresh aplikasi Slack atau tekan Ctrl + R, lalu periksa koneksi internet."
2010,Zoom sering putus saat meeting,Gunakan koneksi kabel LAN atau Wi-Fi yang stabil dan tutup aplikasi lain yang menggunakan bandwidth besar.
2011,Tidak bisa menyalakan video di Google Meet,Pastikan izin kamera diaktifkan di browser dan perangkat tidak sedang digunakan aplikasi lain.
2012,Teams tidak bisa menampilkan background virtual,Perbarui aplikasi Teams ke versi terbaru dan pastikan perangkat mendukung fitur efek latar.
2013,File tidak bisa dikirim melalui chat Teams,Pastikan ukuran file sesuai batas dan OneDrive sinkron dengan akun perusahaan.
2014,Pesan di Slack tidak bisa dikirim,Periksa status server Slack di status.slack.com atau coba gunakan jaringan lain.
2015,Zoom menampilkan pesan “Audio disconnected”,Reconnect audio melalui menu Join Audio dan pastikan driver audio berfungsi.
2016,Google Meet tidak bisa diakses di browser,Hapus cache browser dan pastikan izin pop-up diaktifkan untuk domain Google.
2017,Teams tidak sinkron dengan kalender Outlook,Pastikan akun Microsoft 365 sama dan sinkronisasi kalender aktif.
2018,Chat di Teams tidak muncul di aplikasi desktop,Hapus cache lokal di folder %appdata%\Microsoft\Teams lalu restart aplikasi.
2019,Tidak bisa mengunduh rekaman meeting Zoom,Pastikan host telah menyimpan rekaman dan akun Anda memiliki izin akses ke file.
2020,Layar peserta tidak muncul di Google Meet,Nonaktifkan mode hemat data atau gunakan browser yang mendukung WebRTC.
2021,Teams crash saat video call,Jalankan aplikasi sebagai administrator dan perbarui driver grafis.
2022,Slack tidak bisa login,Periksa koneksi VPN atau pastikan domain workspace Slack benar.
2023,Zoom tidak bisa update otomatis,Jalankan instalasi manual dengan hak administrator dan pastikan antivirus tidak memblokir prosesnya.
2024,Tidak bisa menjadwalkan meeting di Teams,Cek izin kalender dan pastikan lisensi Microsoft 365 mencakup Teams.
2025,Notifikasi Teams terlambat masuk,Pastikan mode “Do Not Disturb” tidak aktif dan Teams berjalan di background.
2026,Zoom menampilkan layar hitam saat share screen,Ubah mode grafik ke “Integrated Graphics” atau update driver VGA.
2027,Peserta tidak bisa masuk ke ruang meeting,Periksa pengaturan lobi atau ubah opsi siapa yang bisa melewati ruang tunggu.
2028,Google Meet tidak bisa menampilkan subtitle otomatis,Aktifkan fitur “Caption” dan ubah bahasa ke English (US) untuk kompatibilitas.
2029,Tidak bisa menyalakan kamera di Teams web,Aktifkan izin kamera di browser dan nonaktifkan ekstensi yang memblokir akses.
2030,Slack menampilkan pesan “Something went wrong”,"Logout lalu login ulang, atau hapus cache aplikasi Slack."
2031,Zoom tidak menyimpan rekaman otomatis,Aktifkan opsi “Record meeting automatically” di pengaturan host sebelum meeting dimulai.
2032,Teams lambat saat digunakan,"Hapus cache, tutup aplikasi lain, dan pastikan Teams diperbarui."
2033,Tidak bisa bergabung ke channel di Slack,Pastikan channel tidak diatur menjadi private dan Anda memiliki izin bergabung.
2034,Google Meet tidak bisa menampilkan tampilan grid,Aktifkan ekstensi Grid View atau ubah tata letak di pengaturan tampilan.
2035,Zoom tidak mengenali perangkat audio eksternal,Pastikan perangkat sudah tersambung sebelum membuka Zoom.
2036,Peserta tidak mendengar suara presentasi,Pilih “Share Screen ? Share Audio” saat membagikan layar.
2037,Teams tidak menampilkan peserta di daftar,Periksa pembaruan aplikasi dan koneksi internet.
2038,Slack tidak bisa upload file,Pastikan kapasitas penyimpanan workspace masih cukup.
2039,Zoom error “Meeting ID not valid”,Cek kembali link undangan dan pastikan meeting belum kadaluarsa.
2040,Tidak bisa ganti nama tampilan di Teams,Ubah nama melalui profil Microsoft 365 dan sinkronkan ulang aplikasi.
2041,Google Meet keluar sendiri dari meeting,Periksa kestabilan jaringan dan nonaktifkan ekstensi browser yang mengganggu.
2042,Slack tidak bisa menerima notifikasi,Pastikan notifikasi diaktifkan di sistem operasi dan aplikasi Slack.
2043,Teams tidak bisa menampilkan dokumen Word,Pastikan OneDrive atau SharePoint aktif dan pengguna memiliki izin akses.
2044,Zoom menolak login dengan akun SSO,Pastikan domain SSO benar dan gunakan link login resmi dari organisasi.
2045,Google Meet tidak bisa digunakan di browser Safari,Gunakan Chrome atau Edge untuk kompatibilitas penuh.
2046,Peserta tidak bisa menyalakan mikrofon,Periksa izin host dan pastikan perangkat input aktif.
2047,Slack tidak bisa memutar pesan suara,Perbarui aplikasi ke versi terbaru dan pastikan audio output berfungsi.
2048,Teams tidak memunculkan notifikasi panggilan masuk,Aktifkan “Allow notifications” di pengaturan panggilan.
